user,date,renderedContent
Polsek_Sawan,2022-12-13 02:21:49+00:00,Ayo Lakukan Vaksin Booster untuk kekebalan bersama. https://t.co/IKbOgPwAux
detik_jatim,2022-12-13 02:18:43+00:00,"Bagi warga Surabaya yang mencari booster atau untuk lansia bisa mendatangi puskesmas atau pelayanan vaksin lainnya. Berikut jadwal dan lokasi vaksin booster di Surabaya. Monggo disimak rek

https://t.co/DOwLPhlcG7"
eloviemarkie,2022-12-13 02:15:11+00:00,emang masih ada ya vaksin booster???
SamOtsah,2022-12-13 01:56:51+00:00,@mohmahfudmd Kalau lukisan ini fix aturan bepergian musti vaksin booster dan swab harus di cabut ya pak.. ✌️ https://t.co/b5YUEB4my5
aaprianto43,2022-12-13 01:54:40+00:00,"@l_oonelyyyy Bantu jawab. Sdh tdk berlaku lagi hasil antigen maupun rapid rest bagi penumpang 18th+. Jadi klo belum vaksin booster, gak boleh naik kereta api jarak jauh."
AgungNugrohoHa2,2022-12-13 01:52:27+00:00,"@KAI121 @keretaapikita 

Selamat pagi min , izin bertanya untuk layanan vaksin booster di stasiun malang apa saja persyaratan yg harus dibawa , dan buka pukul berapa , dan letaknya disebelah mana?? Terimakasih"
serambinews,2022-12-13 01:47:06+00:00,"#Lansia #Vaksin #Booster  

Reisa Broto Asmoro meminta setiap anggota keluarga memastikan lansia dalam kondisi sehat sebelum mengakses vaksin Covid-19 dosis keempat atau booster
 
https://t.co/Wo1MSOhuGT lewat @serambinews"
sharenewsaceh,2022-12-13 01:46:58+00:00,"#Lansia #Vaksin #Booster  

Reisa Broto Asmoro meminta setiap anggota keluarga memastikan lansia dalam kondisi sehat sebelum mengakses vaksin Covid-19 dosis keempat atau booster
 
https://t.co/MKddPTut5I lewat @serambinews"
jejenasa,2022-12-13 01:20:59+00:00,Info vaksin booster daerah jakarta barat
chennieluv09,2022-12-13 01:04:54+00:00,"Vaksin Booster dan penerapan Prokes adalah dua kunci tak terpisahkan, agar terhindar dari virus Covid-19 #TangkapLukasDemiPapua #PapuaIndonesia https://t.co/NZWtqSUqf9"
Diyaaa191,2022-12-13 01:03:53+00:00,"Vaksin Booster dan penerapan Prokes adalah dua kunci tak dapat terpisahkan. Mengingat kini telah muncul virus covid-19 varian baru yang dinamakan Omicron BA.4 dan BA.5.
#TangkapLukasDemiPapua #PapuaIndonesia https://t.co/qyvtHPdIXP"
riea_mariska86,2022-12-13 01:02:01+00:00,"Disiplin Protokol Kesehatan Lindungi Diri dan Keluarga Kita.

Segera vaksin booster untuk mengantisipasi kenaikan laju penularan COVID-19. Vaksin booster dapat memberikan perlindungan ekstra untuk kita dan sekitar. 

#TetapDisiplinJalankanProkes https://t.co/3P2nH8vB2j"
lvendear,2022-12-13 01:00:01+00:00,Vaksin booster dan penerapan prokes wajib dilakukan karena saat ini muncul virus Covid-19 varian Omicron BA.4 dan BA.5. #TangkapLukasDemiPapua #PapuaIndonesia https://t.co/a69ABNQuDs
gaw8n,2022-12-13 01:00:00+00:00,Vaksin booster dan juga penerapan protokol kesehatan merupakan adalah dua kunci tak terpisahkan. Mengingat kini muncul virus varian baru yang dinamakan Omicron BA.4 dan BA.5. #TangkapLukasDemiPapua #PapuaIndonesia https://t.co/a1LHdsY6Oz
Asyierrna,2022-12-13 01:00:00+00:00,"Selain jaga protokol kesehatan, kita juga harus vaksin booster. Agar terhindar dari virus varian terbaru

#TangkapLukasDemiPapua #PapuaIndonesia https://t.co/1SmO3rPUcy"
komirjacq,2022-12-13 00:54:37+00:00,@convomf Ngga soalnya mau vaksin booster
putrikinantip,2022-12-13 00:32:28+00:00,"@sbyfess mungkin ada yg tau, kalau mau naik kereta itu harus vaksin booster ta?"
BrunoRobles872,2022-12-13 00:07:50+00:00,"Pemberian vaksin booster kedua untuk lansia sudah mulai bisa ayo booster 
#vaksinasibooster 
#COVID19 https://t.co/gWQUYfpfno"
RMOLJatim_id,2022-12-12 23:44:03+00:00,"TNI-Polri Sukses Gelar Pelaksanaan Vaksin Booster di Bangkalan : Kesuksesan pelaksanaan vaksin booster di Kabupaten Bangkalan adalah hasil kerjasama dua institusi negara, yakni TNI dan Polri.

baca selengkapnya di berita rmoljatim : TNI-Polri Sukses… https://t.co/v15uqBtpot"
yourshelf_,2022-12-12 23:20:14+00:00,"Males bgt sekrang udh ada vaksin booster 2, ini aku nyari booster sinopharm masih kosong terus. Gimana si 🥲"
InfoFarmasiKini,2022-12-12 22:43:45+00:00,FDA Rilis Vaksin Booster COVID-19 Bivalen untuk Anak Usia 6 Bulan hingga 4 Tahun https://t.co/SdHz6IPeHg
farmasetika_com,2022-12-12 22:43:42+00:00,FDA Rilis Vaksin Booster COVID-19 Bivalen untuk Anak Usia 6 Bulan hingga 4 Tahun https://t.co/dXfmDTf1LU
AndrewAMS_,2022-12-12 22:01:52+00:00,Info vaksin booster Tangerang/Jakarta dong
NamungAbdiGusti,2022-12-12 18:34:41+00:00,"Masih percaya pandemi covid 19???
Masih percaya PPKM Masker Vaksin Booster Social Distancing???

Bodoh boleh, tapi jangan sampai dibodohi oleh kepentingan farmasi.

@CommuterLine @AngkasaPura_2 @AP_Airports @KAI121 apa gunanya aturan kalian soal booster masker nirfaedah itu? https://t.co/MZ1Re48zj9"
anaknyagupi_,2022-12-12 17:47:41+00:00,"@Luvvmeow Iya ka, tapi vaksin booster aku ini belom ke deteksi gtu loh.. soalnya pas aku cek dipeduli lindungi juga ga ada gtu:'("
anaknyagupi_,2022-12-12 17:06:18+00:00,Ini gua mau naik kereta tapi sertifikat vaksin booster belom muncul tapi gua ada kertas buktinya bisa ga si?😭
alllove4love,2022-12-12 15:58:52+00:00,"@chybele_ aku udah legal , udah vaksin booster dan pastinya diizinin (karna sekarang tinggal sendiri) 
Makasih ya ka udah Adain Giveaway tiket konser seventeen lagi . Ga heran rejeki kaka , mas , sama mama ka sea lancar begini . Dan semoga rejeki Kaka sekeluarga selalu lancar."
dinwon_,2022-12-12 15:24:51+00:00,"@chybele_ Hi kak sea, mas dan mama sea thankyou udh buat GA and jadi sponsor sehat terus dan tambah rezeki ya btw kak aku udh legal 18th cuman di daerahku belum ada vaksin booster dari bulan Oktober sudah cari info dari kecamatan belum ada kabar tentang booster. Tenang aja kak aku udh"
21BeritaTerkini,2022-12-12 15:08:35+00:00,Syarat yang Harus Dipenuhi Lansia untuk Vaksin Booster Kedua https://t.co/w5d9iiG55F
drivethrvu,2022-12-12 15:06:40+00:00,btuh vaksin booster langsung skrg https://t.co/kdzA6D5GVd
tempodotco,2022-12-12 15:01:33+00:00,Syarat yang Harus Dipenuhi Lansia untuk Vaksin Booster Kedua https://t.co/0jg2CE0jHs #TempoGaya
republikaonline,2022-12-12 14:30:15+00:00,Pastikan lansia dalam kondisi sehat ketika mendapatkan vaksin booster kedua. https://t.co/EBEithBR2c
alamwijayafz,2022-12-12 13:52:58+00:00,"kalo kita vaksin booster ke-1 nya nembak alisan ga di suntikin ke tubuh, terus vaksin booster ke-2 nya di suntikin ke tubuh, aman gak yah?"
iamputrabagus,2022-12-12 12:51:04+00:00,"@PartaiSocmed Tum tolong bahas prokes di nikahan @kaesangp dong, soalnya temen saya ga vaksin booster aja gabisa naik kereta sama @CommuterLine 😌"
nanangsp,2022-12-12 12:49:19+00:00,"dear admin @KAI121 tanya, apakah masih disyaratkan vaksin booster untuk penumpang kereta jarak jauh? Jika iya, apakah bisa digantikan dengan swab antigen? Terima kasih"
halosekalilagi,2022-12-12 12:37:13+00:00,@KAI121 min stasiun bandung bisa vaksin booster gak?????
kimjinjinie,2022-12-12 11:40:10+00:00,"kalo gw langsung vaksin booster , mati gak ya"
indozonemedia,2022-12-12 11:38:07+00:00,"Sempat Positif COVID-19 dengan Gejala Berat, Kapan Bisa Vaksin Booster Kedua?

#Covid19 #VaksinBooster 
https://t.co/ah3L82x14b"
leemarkyungsoo,2022-12-12 11:31:33+00:00,"@KAI121 selamat malam, saya sudah vaksin booster, jadi untuk perjalanan kereta jarak jauh dokumen apa saja yang perlu saya bawa? saya berangkat dari stasiun pasar senen. Terima kasih"
zendictive,2022-12-12 11:28:16+00:00,"@chybele_ Aku lihat semua teman-teman ku nonton konser bets nanti, bahkan di section yang mereka pilih. Sedangkan aku masih struggle banget di budget tiketnya :"") untuk usia aku udah legal, aku 20 tahun. Dan aku udah vaksin booster dari tahun lalu kok kak! Kalau kakak mau untuk proof-"
leemarkyungsoo,2022-12-12 11:25:22+00:00,"@CommuterLine selamat malam, saya sudah vaksin booster, jadi untuk perjalanan kereta jarak jauh dokumen apa saja yang perlu saya bawa? saya berangkat dari stasiun pasar senen. Terima kasih"
beritacovid,2022-12-12 10:44:58+00:00,"#Sempat Positif COVID-19 dengan Gejala Berat, Kapan Bisa Vaksin Booster Kedua? - https://t.co/kYaFWxMC8h #Covid #Covid19 https://t.co/HEpnRNcUQ7"
vinseeeeen,2022-12-12 10:14:40+00:00,"Update, kak mijung mau ke japang vaksin booster dulu ges, dah dapet sertifikat pedulilindungi cabang korea https://t.co/Q81KsnCVu5"
jn_lee27,2022-12-12 10:14:16+00:00,"FC. SERTIFIKAT VAKSIN 2 (DUA)
FC. SERTIFIKAT VAKSIN BOOSTER ( Tiga )
Foto 4×6
KARTU KELUARGA

Website Rekrutmen Disnakertrans Karawang
https://t.co/6BxZRIIsiF
Hanya pelamar yang sesuai kualifikasi yang akan diproses"
jn_lee27,2022-12-12 10:12:04+00:00,"- Tinggi badan minimal 164 cm dengan berat badan ideal (body mass index/BMI &lt; 27&gt;
- Tidak berkacamata dan tidak buta warna (parsial/total)
- Sdh mndptkn vaksinasi Covid-19 min dosis ke-2 saat proses pndaftaran &amp; sdh mndptkn vaksin booster sblm proses tnd tgn perjanjian pemagangan"
gotaw1n,2022-12-12 10:10:23+00:00,"abis vaksin booster, moga aja g tumbang:)"
chskieurs,2022-12-12 10:02:47+00:00,"@dyhwanie_ @treasuremenfess Seingetku, di peraturannya sih harus vaksin booster sya kalau udah 18 tahun"
sunflowershyuk,2022-12-12 10:01:41+00:00,"@CommuterLine min, kalo naik kereta lokal sidoarjo-surabay, harus vaksin booster kah?"
jn_lee27,2022-12-12 09:56:30+00:00,"- Memiliki pengetahuan dan paham tentang mould khususnya spesialis injection plastic
- Sudah vaksin booster (dibuktikan dengan SS PeduliLindungi)
- Tidak memiliki riwayat penyakit berat
- Bersedia mengikuti rangkaian rekrutmen di Cikarang Selatan"
sunflowershyuk,2022-12-12 09:51:26+00:00,"@KAI121 min, kalo mau naik kereta lokal sidoarjo-surabaya harus vaksin booster kah?"
Specialnda407,2022-12-12 09:50:26+00:00,"Open tembak vaksin booster 50k tembus peduli lindungi, pembayaran setelah sertifikat keluar ..  minat dm ya"
rizkyandreaa,2022-12-12 09:27:03+00:00,"@keretaapikita Min tanya nih, dari lamongan ke malang apa harus vaksin booster mohon dijawab? 

(Saya dosis 2)"
ika_trisakti,2022-12-12 09:07:46+00:00,Undangan vaksin booster sabtu (17/12) di Sekolah Tinggi Pariwisata Trisakti Pesanggrahan Jakarta Selatan. Daftarkan dirimu sekarang sebelum kehabisan. #vaksinasibooster #alumnitrisakti https://t.co/nyeFJQ7WhG
granatvietcong,2022-12-12 08:06:29+00:00,tangan gue pegel bgt ini knp sih vaksin booster harus kaya gini
cupofbittersalt,2022-12-12 07:39:14+00:00,"@banjarbase Kurang tuh, minimal Vaksin Booster 1 wwkkwkwkwk"
RoySila36567431,2022-12-12 07:11:54+00:00,Hayoo.. Vaksin Booster II biar ketahanan tubuh kita kuat dan terhindar dari virus https://t.co/JNQyA35LXL
undipmenfess,2022-12-12 07:05:51+00:00,-dips! skrng kalau naik kereta antarkota harus vaksin booster gasi?
seblakdicted,2022-12-12 06:59:17+00:00,@KAI121 halo min jika naik kereta Argo Dwipangga apakah harus tes pcr atau cukup sudah vaksin booster saja?
NiaJannah1,2022-12-12 06:50:18+00:00,@banjarbase Melampirkan vaksin booster lah
AlshaibaShihab,2022-12-12 06:15:26+00:00,"Yuk siap vaksin booster kedua.
#ProkesPutusPenularanCovid"
abdillahaghi,2022-12-12 05:35:45+00:00,"@18fesss Gue bulan mei kmrn vaksin booster pake pfizer, rasanya kek pegel aja sih tangan kiri gue"
sadieadlerr_,2022-12-12 05:11:32+00:00,Efeknya bisa naik kereta 🙏 soalnya ak tiap minggu ke sby kalo g vaksin booster lalu ak naik apa
Linacuan,2022-12-12 04:51:32+00:00,kasus covid 19 masih terus meningkat dikarenakan ini sekarang lansia sudah bisa menerima vaksin booster kedua https://t.co/NqAyVPg7ZG
onyour__puzzle,2022-12-12 04:20:06+00:00,Vaksin booster bayar gak sih?
ayuambar990,2022-12-12 04:02:30+00:00,"Pemberian vaksin booster kedua untuk lansia sudah mulai bisa
#vaksinasibooster 
#COVID19 https://t.co/Ue04wTBqs6"
elfarahmm,2022-12-12 03:54:41+00:00,Habis vaksin booster kok jadi gampang pilek 🙃
itsmewulan31,2022-12-12 03:53:42+00:00,@chybele_ Haii..kak thankyou bgt udh adain giveaway ini buat para carat yg blm bisa ntn beTS semoga diganti yg lebih banyak ya kak sama tuhan aamiin...aku udh booster nih kak dari lama sayang nih serifikat vaksin booster aku klo ga dipake heheh...semoga aku beruntung. Thank you kak
bilacoups,2022-12-12 03:49:31+00:00,@chybele_ semoga aku bisa menang dan ga sedih lagi makasih ka dan keluarga kk semoga dilancarkan rezekinya aku udh legal dan udh vaksin booster semoga wishlist aku tahun ini buat nonton seventeen terwujud
aprilboyhwa,2022-12-12 03:35:25+00:00,"Anjay kelar vaksin booster, dah bisa ke jogja shayy

Yuk yg di jogja mitap wkwkwk"
v1rgoasis,2022-12-12 03:11:47+00:00,"maju lo semua, gw dah vaksin booster"
yosafat_a_p,2022-12-12 03:02:13+00:00,Info vaksin booster dosis kedua untuk lansia @yusufgunawan @infomalang. Terima kaish
ubsansfess,2022-12-12 02:55:01+00:00,braw! ada yang tau ga di malang yang bisa vaksin booster di mana? dah pesen kereta buat pulkam nanti sabtu tapi baru inget belum booster 😢
amiyuL,2022-12-12 02:53:13+00:00,"Tiket vaksin booster 2 w belum keluar, yaudah tunggu dulu aja lah"
amiyuL,2022-12-12 02:51:57+00:00,Sedang mencari tempat vaksin booster 2 yg pas buat PakBuk
Clara_Shinta99,2022-12-12 02:47:01+00:00,"Lansia Sudah Bisa Booster Kedua

Kasus Covid-19 RI terus meningkat karena merebaknya subvarian Omicron XBB dan BQ.1. Kemenkes RI akan memulai pemberian vaksin Covid-19 booster kedua untuk kelompok lansia.

Jangan lupa vaksin booster ya guys 

#ProkesPutusPenularanCovid https://t.co/TxOhAFqO23"
eiyowz,2022-12-12 02:40:30+00:00,"@KAI121 pagi admin, saya ingin bertanya. apakah tersedia vaksin booster di stasiun bandung atau kiaracondong untuk hari ini atau besok? terima kasih"
riea_mariska86,2022-12-12 02:32:51+00:00,"Vaksin booster akan tetap melindungi dari risiko penyakit yang parah. Sehingga, vaksin masih merupakan hal yang sangat penting untuk menekan gejala yang timbul dan risiko kematian yang diakibatkannya.

#ProkesPutusPenularanCovid https://t.co/jCkX9eOHcB"
pavillure,2022-12-12 02:24:27+00:00,"@18fesss h-1 ke surabaya vaksin booster dadakan paginya demam dan muntah2, untung tiketnya sore👍🏻"
Bie_shee,2022-12-12 02:23:25+00:00,Info Vaksin booster denpasar dooong
Bank_Aconk,2022-12-12 02:22:39+00:00,"Lansia Sudah Bisa Booster Kedua

Kasus Covid-19 RI terus meningkat karena merebaknya subvarian Omicron XBB dan BQ.1. Kemenkes RI akan memulai pemberian vaksin Covid-19 booster kedua untuk kelompok lansia.

Ayo segera vaksin booster 

#ProkesPutusPenularanCovid https://t.co/iWMHEXUGUS"
_garu_da,2022-12-12 02:19:42+00:00,"Waspada varian XBB!
Guna cegah Covid-19 Kemenkes mulai pemberian vaksin booster kedua untuk memberikan perlindungan tambahan terhadap kelompok lansia, untuk mengurangi tingkat keparahan, bahkan kematian akibat COVID-19.
#ProkesPutusPenularanCovid https://t.co/3mMSE6gOcn"
Revenge00810455,2022-12-12 02:14:31+00:00,"4 manfaat pemberian vaksin booster COVID-19, antara lain:

1.   Mencegah infeksi virus Corona;

2.   Mempertahankan tingkat kekebalan tubuh;

3.   Memperkuat antibodi yang sudah terbangun;

4.   Memperpanjang masa perlindungan dari virus.

#ProkesPutusPenularanCovid https://t.co/OsH7z1LrsR"
Imamrachmat23,2022-12-12 02:04:33+00:00,@18fesss Gua kena alergi setelah vaksin booster padahal vaksin 1 dan 2 gak ada efek sama sekali.
karay_yasin,2022-12-12 02:01:50+00:00,"Opung LBP perlu tau, jangan buat aturan tambahan lagi. Vaksin booster serial yang pertanggungjawaban ilmiahnya tak kunjung di kaji oleh lembaga ilmiah kita seperti universitas dsb."
sebarberitacov,2022-12-12 01:57:39+00:00,"Jaga jarak, patuhi prokes, vaksin booster lengkap Pagi-pagi Pegang
#TetapProkesCovid
#CovidMasihAda
@singkepBarat
@SingaManiaPasib"
tacharannie,2022-12-12 01:29:53+00:00,Masa iya mimpi daftar vaksin booster?
kyeomineisdk,2022-12-12 01:09:58+00:00,"@chybele_ Pagi Kak, aku izin ikutan GA ya hehe 😁
Makasih banyak ya kak udah ngadain GA ini 🙏🏻. Oh ya aku udh vaksin booster kak 👌🏻
Aku pengen bgt nonton sebong, pengen ndengerin suara mereka secara langsung terutama DK, dan yg pasti pengen ngerasain lompat2 aju nice brg temen2 carat."
bucindyoo,2022-12-12 01:02:00+00:00,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Meskipun sudah vaksin booster tetap menerapkan Prokes #TerusKejarLukasEnembe #PapuaDamai https://t.co/Se9nIvn6IQ
lvendear,2022-12-12 01:00:00+00:00,Ayo segera vaksin booster supaya kita terhindar dari virus Covid-19 varian Omicron BA.4 dan BA.5. #TerusKejarLukasEnembe #PapuaIndonesia https://t.co/RtA5k6IL6m
medcom_id,2022-12-12 00:40:58+00:00,4.166 Pelayan Publik Bangka Tengah Sudah Terproteksi Vaksin Booster https://t.co/dDzhyzv4T1
im_winie,2022-12-12 00:05:35+00:00,"@chybele_ Smg lwt ga ini ,mimpiku bs terwujud, q sdh memenuhi kriteria diatas YG KRNG CM TIKET'A😂 yaitu sdh dewasa,sdh vaksin booster,restu orang tua pun sudah ada krna q sll minta doa mereka untuk didoain smg suatu saat q bs nnton svt scr langsung, alhamdulillah mrk sll mendukung lwt doa"
bearswoon,2022-12-11 23:56:21+00:00,MAJU LO GUE UDAH VAKSIN BOOSTER SENYAM SENYUM GAKUATTT
bearswoon,2022-12-11 23:33:51+00:00,"@chybele_ Aakk makasi udah ngadain GA ini terutama buat mas,mama dan yang pasti ka sea,aku izin ikutan GA nya ya kak,DONE ALL RULES aku udh VAKSIN BOOSTER usiaku juga sudah LEGAL insyaallah direstuin sama orang tua aku mau banget ikut konser sebong bcs aku belum pernah ngerasain....(cont) https://t.co/0lCJlnQQ4m"
ubsansfess,2022-12-11 19:40:00+00:00,braw! di klinik ub ada vaksin booster ngga sih? butuh banget soalnya mau naik kereta buat pulkam
_putraalfarizi,2022-12-11 17:22:30+00:00,@CommuterLine min Mau Nanya Untuk Persyaratan Perjalanan Menggunakan KA Lokal Khususnya KA Lokal Merak Itu Apakah Harus Vaksin Booster Terlebih Dahulu Atau Vaksin Ke 2 Sudah Bisa Menggunakan KA Lokal Merak 🙏
hjkzxa,2022-12-11 17:11:15+00:00,"@chybele_ Ini bakal jadi konser pertama dihidup aku,  btw umur aku udah legal dan udah vaksin booster jugaa. Mungkin dengan mama sea bikin ga ini bisa bikin aku ketemu Sebong, aamiin."
Jjeonghani_yoon,2022-12-11 17:09:12+00:00,fak gw lupa vaksin booster
oceanzii,2022-12-11 16:56:33+00:00,"@chybele_ hi kak sea aku izin ikutan yaa, makasih banyak buat kak sea, mas kak sea dan mamah nya kak sea. semoga rezeki kalian di lancarkan terus, sehat terus dan bahagia selalu. aku udah seventeen, tapi aku belum berhak dapet vaksin booster 🥹. https://t.co/1hL9ZWb6iJ"
syams_weld,2022-12-11 16:43:04+00:00,@RizkiAsihan Berarti setiap hari teriak vaksin booster cuma promo dagangannya doang.
KAI121,2022-12-11 16:22:06+00:00,@winternangor Layanan vaksin di Stasiun Bandung tersedia bagi penumpang KA jarak jauh dan umum. Hanya melayani vaksin booster pertama. Trims.
nunikkhataaa,2022-12-11 16:06:35+00:00,"@chybele_ Halo kak Sea salam kenal. Sebelumnya terimakasih udah adain giveaway. Buat mama dan mas nya kak Sea juga terimakasih. Semoga kak Sea sekeluarga diberikan rezeki, kebahagiaan dan kesehatan. Aku izin ikutan GA ya kak. Umur aku udah legal + udah vaksin booster juga."
higheaven01,2022-12-11 16:00:31+00:00,"MAJU LU GRADUATION
GUE UDAH VAKSIN BOOSTER"
hanshua0430,2022-12-11 15:52:50+00:00,@chybele_ Mo ikutan achh umur syudah legal syudah vaksin booster syudah lengkap semua vaksin dari bayi ampe segede bagong ini dan sudah semua yang belum hanya bertemu seventeen saja~ terimakasih ga nya yachhh~~~ semoga ini mengetuk pintu hatimuu itu heuheuheu
taurus_girlll,2022-12-11 15:47:05+00:00,"@chybele_ Mau ikutan juga ya hihi, aku dah usia legal, vaksin booster pun udah, izin sudah mengantongi, tinggal tiket buat ketemu ayangnya yang blum ada🫠."
gradissy,2022-12-11 15:45:20+00:00,@ayuadeliaa Wah okedeh ayu maaciih🥺 eh yu mau nanyaa waktu kamu nonton seventeen diperiksa vaksin booster gitu ga sih?
mediaindonesia,2022-12-11 15:45:03+00:00,Sebanyak 7.081.993 lanjut usia telah terproteksi vaksin booster.  https://t.co/E9KAPRA9et
hanniihaaeee,2022-12-11 15:43:57+00:00,"@chybele_ Hai ka sea,makasi banyak buat GA nya. Aku iktn yah😹ka sea tau gak si aku tu pgn bgt nonton konser svt,tapi apalah daya gak punya tiket🥹mau beli blm ada rezeki,alhasil coba2 nyari carat yg pda GA,akhirnya ada ka sea yg bikin GA,aku umurnya udh legal kok dan udh vaksin booster jg"
Piesca4,2022-12-11 15:30:54+00:00,@chybele_ Cuss vaksin booster dulu. Kalau emang rejeki nggak kemana. Semoga bisa ketemu pak Choi akhir tahun. Aamiin 🤲 Terima kasih kak sea se-keluarga 😊
ubsansfess,2022-12-11 15:20:00+00:00,Braw! vaksin booster di RSI unisma bsia untuk umum gak? apa harus agama islam? Makasih
cutiewisky,2022-12-11 14:35:30+00:00,besok rencananya pengen vaksin booster tapi boleh ngga ya sebelumnya aku minum susu dulu?! 🤨
erinawida,2022-12-11 14:29:11+00:00,"awal2 gak mau ikut vaksin Booster, tiba2 beli kado buat temen di SMS tgr ndak boleh masuk gara2 blm Booster, akhirnya ngalah jg minggu lalu balik Cilegon Booster sekalian di puskesmas disana, di Tgr masih ketat Bestie 😏"
winternangor,2022-12-11 13:33:00+00:00,@KAI121 min di stasiun bandung ada layanan vaksin booster ga? klo ada hari apa?
KAI121,2022-12-11 12:50:08+00:00,@basaheh Selamat malam Kak. Untuk syarat ikut KAI Quiz tidak mengharuskan sudah vaksin booster ya. Trims.
winternangor,2022-12-11 12:49:40+00:00,@KAI121 di stasiun bandung ada layanan vaksin booster min?
IpoengKang,2022-12-11 12:39:49+00:00,@jokowi Sdh gak ada covid kan pak..tolong tuh PT KAI diingatkan gak usah ikut jd makelar vaksin booster sbg syarat naik kereta
AKu71678189,2022-12-11 12:38:19+00:00,"@omving @akbarfaizal68 Mrk rkyt biasa bkn pjbt pemerintah. Bagi rkyt covid itu sdh g ada. Bagi pemerintah msh ada. Masih disuruh vaksin/booster(syarat prjalanan), masih ngumumin ppkm menjelang hari2 besar dll"
youkeeishi,2022-12-11 12:35:52+00:00,"Pasca vaksin booster kmrn badan jadi lemes gini dan tangan kiri juga jadi gabisa diangkat tinggi2, nyeri pisan 😴"
winternangor,2022-12-11 12:12:38+00:00,@PRFMnews min info vaksin booster di bandung jatinangor untuk minggu depan dong
Miduk17,2022-12-11 12:03:18+00:00,@dewanto07985162 Kalo sudah vaksin booster...lebih aman
itswe2716,2022-12-11 12:02:15+00:00,@txtdrimedia Mau nyari mahar sertifikat vaksin booster 1 😁
basaheh,2022-12-11 11:41:09+00:00,@KAI121 Sekedar tanya ini syaratnya ikut quiz harus sudah   vaksin booster kan?
yourchagiya,2022-12-11 11:18:51+00:00,"Besok niatnya vaksin booster gegara konser wajib booster.. 

Masalahnya, bakal tidur tepat waktu ngga ya 😭😭😭 gue ngeri tidur shubuh euy"
meisyapage,2022-12-11 10:58:33+00:00,"@noepenthe kan aku cuma bilang terserang bukan bilang ga kuat diserang? jadi, ayo kamu maju sini aku ga takut aku udah vaksin booster! https://t.co/ijk4z6vYLy"
herrysw,2022-12-11 10:37:52+00:00,"Mari towel-towel empat ponsel flagship di Surabaya. Kapan? 13 Desember 2022 pukul 18.30-20.30.

Peserta harus sudah vaksin booster dan membayar uang komitmen kehadiran Rp55 ribu. Dana itu dipakai untuk membayar paket makan-minum di hotel berbintang.

Info rinci cek lampiran. https://t.co/k4MueRHHt1"
medcom_id,2022-12-11 10:35:58+00:00,"33,29% Masyarakat Rentan dan Umum Terproteksi Vaksin Booster https://t.co/CqYaGBFEvJ"
edwi_yoko,2022-12-11 10:33:27+00:00,Sinuhun telah melakukan pesta rakyat. Berharap syarat naik kereta dan pesawat harus vaksin booster harap dicabut. Pedagang pcr dan vaksin harap menutup bisnisnya.
Wong_Loman,2022-12-11 09:38:18+00:00,@akbarfaizal68 Berarti untuk perjalanan via pesawat terbang dan Kereta Api sudah ga perlu lagi status Vaksin booster ya..?
BaseJambi,2022-12-11 09:15:00+00:00,"Jmb! Mau ke Jakarta naik pesawat tapi belum booster, aman engga ya?
Atau di bandara ada vaksin booster?"
Hum4n7,2022-12-11 09:01:44+00:00,Biar aja napa sih.. Pastikan aja sdh pada vaksin &amp; booster.. Yg nggak vaksin + booster jangan kasih pulang kampung. Yg ga pake peduli lindungi jngn ksh izin keluar rumah.. Gitu aja kok repot...
masihmagangNIH,2022-12-11 09:00:45+00:00,"Nyari exposure gini amat. Pesta besar udh dari lama juga di bolehin bos. Negara juga udh memhimbau perihal masker, boleh tidak pakai. Soal PCR dan anti gen juga udh bukan syarat utk berpergian, justru vaksin booster yang di jadikan syarat skrg. Itupun hanya di KAI kalau gak salah"
tidakApoApo,2022-12-11 08:59:23+00:00,@fessthai Retro saja tapi aku belum vaksin booster wkwkwk🥸
supono_spd,2022-12-11 08:58:19+00:00,"@akbarfaizal68 Waduh..., sdh terlanjur kulakan vaksin booster banyak bang, kok tiba² saat Paduka yang Mulia Presiden RI Bp. Ir. Joko Widodo punya hajat, Covid resmi usai."
dunianudia,2022-12-11 07:55:28+00:00,"Kayaknya akibat vaksin booster, ewkwkwk
Bikin jadi pengen rebahan trs juga"
doypnya,2022-12-11 07:35:39+00:00,@Jaeminore @pallihaeee @nctzenbase Harus udah vaksin booster dlu baru bolee masukk
sobatsobit,2022-12-11 07:29:06+00:00,"@KAI121 Halo admin, mau bertanya apabila penumpang dibawah 17 tahun belum vaksin booster, namun sudah vaksin full ke 2 apakah perlu melakukan swab terlebih dahulu?"
Irsyad88216647,2022-12-11 07:27:46+00:00,@akbarfaizal68 Vaksin booster masih lanjut nggak bang 😀😀
hfadila11,2022-12-11 07:16:47+00:00,@contactap2 min mau nanya kalo baru vaksin 2 apakah boleh melakukan penerbangan? Karna untuk vaksin booster jaraknya mesti 3 bln dari vaksin sementra vaksin 2 nya baru
NongChristy,2022-12-11 05:45:21+00:00,@Biblesumett_id @biblesumett Kk ini buat masuk ke acara nya harus scene barcode vaksin gaksih. Soalnya aku blm vaksin booster
